dataset,clf,sampler,condition,seed,contam,f1,precision,recall,mcc,roc_auc,pr_auc,error
saudi_attrition,RandForest,SMOTE,leaked,1,0.152317880794702,0.797979797979798,0.8186528497409327,0.7783251231527094,0.606647839449912,0.8881191001965589,0.901609233306034,
saudi_attrition,RandForest,SMOTE,correct,1,0.152317880794702,0.749185667752443,0.756578947368421,0.7419354838709677,0.5610351657889716,0.8690131892579056,0.8350387851819157,
saudi_attrition,GradBoost,SMOTE,leaked,1,0.152317880794702,0.7989690721649485,0.8378378378378378,0.7635467980295566,0.6181985925384809,0.8912616176078041,0.9120368504804202,
saudi_attrition,GradBoost,SMOTE,correct,1,0.152317880794702,0.7840531561461794,0.8082191780821918,0.7612903225806451,0.628503853177759,0.8855871603368822,0.8779511956744761,
saudi_attrition,XGBoost,SMOTE,leaked,1,0.152317880794702,0.8041237113402062,0.8432432432432433,0.7684729064039408,0.6280897700190965,0.8979834502171856,0.9193934738716276,
saudi_attrition,XGBoost,SMOTE,correct,1,0.152317880794702,0.757679180887372,0.8043478260869565,0.7161290322580646,0.5936411255046814,0.8955347211187032,0.8865722313964524,
saudi_attrition,LogReg,Borderline,leaked,1,0.1920529801324503,0.7589743589743589,0.7914438502673797,0.729064039408867,0.5386214407452997,0.8840059210366668,0.8963418521191571,
saudi_attrition,LogReg,Borderline,correct,1,0.1920529801324503,0.7443365695792881,0.7467532467532467,0.7419354838709677,0.550245869262341,0.8727157158747815,0.8676473629519008,
saudi_attrition,DecTree,Borderline,leaked,1,0.1920529801324503,0.7476635514018691,0.7111111111111111,0.7881773399014779,0.470752959289872,0.8153680021354559,0.812027981698412,
saudi_attrition,DecTree,Borderline,correct,1,0.1920529801324503,0.7105263157894737,0.7248322147651006,0.6967741935483871,0.4973711304321148,0.8178452248530113,0.7464817384998162,
saudi_attrition,5NN,Borderline,leaked,1,0.1920529801324503,0.7450110864745011,0.6774193548387096,0.8275862068965517,0.4445578549554752,0.7478827440607634,0.679292315926913,
saudi_attrition,5NN,Borderline,correct,1,0.1920529801324503,0.6629213483146067,0.5870646766169154,0.7612903225806451,0.3519092321907188,0.7227554425552201,0.61544879183421,
